1 1:26 2:274.9472 3:15.0854 4:0.2234 5:0 6:0.8369 7:0.3108 8:96 9:11.7254 10:0.9990 11:20.3996 12:0.0331 13:11.825 14:12.130
1 1:26 2:274.9472 3:15.9127 4:0.2234 5:0 6:0.8369 7:0.1569 8:646 9:3.3766 10:0.9959 11:20.6628 12:0.0459 13:11.727 14:12.073
1 1:26 2:228.3956 3:15.0854 4:0.2574 5:0 6:0.8215 7:0.3108 8:96 9:0.0000 10:0 11:20.2476 12:0.5627 13:12.109 14:12.291
1 1:26 2:228.3956 3:15.9127 4:0.2574 5:0 6:0.8215 7:0.1569 8:682 9:0.0000 10:0 11:20.8416 12:0.4360 13:12.050 14:12.258
1 1:26 2:253.9952 3:15.0854 4:0.3121 5:0 6:0.7569 7:0.3108 8:96 9:0.8173 10:0.9957 11:19.6758 12:0.4007 13:12.032 14:12.248
1 1:26 2:253.9952 3:15.9127 4:0.3121 5:0 6:0.7569 7:0.1569 8:703 9:0.0000 10:0 11:19.8168 12:0.4156 13:11.962 14:12.208
1 1:26 2:279.8944 3:15.0854 4:0.2115 5:0 6:0.8831 7:0.3108 8:96 9:0.0000 10:0 11:19.6160 12:0.6513 13:12.323 14:12.407
1 1:26 2:279.8944 3:15.9127 4:0.2115 5:0 6:0.8831 7:0.1569 8:708 9:0.0000 10:0 11:18.7894 12:0.7163 13:12.296 14:12.392
1 1:15 2:69.8909 3:327.6802 4:0.0667 5:0.8756 6:0 7:0 8:1 9:10.1818 10:0.5275 11:13.3198 12:0.2843 13:3.917 14:4.049
1 1:15 2:69.8909 3:327.6802 4:0.0667 5:0.8756 6:0 7:0 8:1 9:10.0000 10:0.7543 11:13.2822 12:0.2289 13:4.126 14:4.388
1 1:15 2:69.8909 3:327.6802 4:0.0667 5:0.8756 6:0 7:0 8:1 9:7.8462 10:0.6531 11:13.6312 12:0.1967 13:3.843 14:3.920
1 1:18 2:63.1960 3:351.1376 4:0.0556 5:0.8951 6:0 7:0 8:1 9:14.7091 10:0.5806 11:16.6892 12:0.2091 13:4.585 14:4.658
1 1:20 2:59.4589 3:346.3734 4:0.0500 5:0.9050 6:0 7:0 8:2 9:16.9159 10:0.6066 11:18.4504 12:0.1079 13:5.105 14:5.195
1 1:20 2:59.4589 3:346.3734 4:0.0500 5:0.9050 6:0 7:0 8:1 9:17.8474 10:0.3134 11:18.7750 12:0.0910 13:5.035 14:5.067
1 1:20 2:65.7126 3:346.3734 4:0.0500 5:0.9050 6:0 7:0 8:1 9:15.3500 10:0.5332 11:18.3186 12:0.2569 13:5.260 14:5.469
0 1:22 2:66.9564 3:421.0555 4:0.0455 5:0.9132 6:0 7:0 8:1 9:17.5917 10:0.6526 11:20.5860 12:0.2305 13:5.763 14:5.980
1 1:25 2:57.9713 3:424.2679 4:0.0400 5:0.9232 6:0 7:0 8:4 9:19.4926 10:0.5231 11:22.9658 12:0.2360 13:6.490 14:6.693
1 1:19 2:531.0171 3:52.1017 4:0.6898 5:0.0526 6:0 7:0 8:4 9:0.0000 10:0 11:16.5531 12:0.6032 13:5.178 14:5.494
0 1:32 2:69.2714 3:281.5667 4:0.1875 5:0.8555 6:0 7:0 8:218 9:18.7135 10:0.7470 11:25.7952 12:0.1984 13:8.000 14:8.000
1 1:30 2:149.9797 3:49.2257 4:0.6333 5:0.0333 6:0 7:0 8:127 9:20.4045 10:0.8562 11:25.9484 12:0.1771 13:9.131 14:10.089
1 1:30 2:149.9797 3:49.9925 4:0.6333 5:0.0333 6:0 7:0 8:78 9:20.1211 10:0.3857 11:24.8582 12:0.3317 13:9.086 14:10.031
0 1:32 2:49.0145 3:164.2216 4:0.0312 5:0.6777 6:0 7:0 8:274 9:14.5849 10:0.9112 11:24.9848 12:0.3926 13:9.848 14:10.908
0 1:40 2:42.0834 3:27.7437 4:0.0250 5:0.0494 6:0 7:0.1000 8:2 9:37.8984 10:0.6317 11:38.6036 12:0.1483 13:10.154 14:10.295
0 1:50 2:41.1717 3:24.7485 4:0.0200 5:0.0396 6:0 7:0.0800 8:1 9:47.7297 10:0.7007 11:48.7678 12:0.1093 13:12.684 14:12.855
0 1:60 2:42.0981 3:22.5525 4:0.0167 5:0.0331 6:0 7:0.0667 8:1 9:58.3715 10:0.2306 11:58.8794 12:0.0376 13:15.111 14:15.217
0 1:70 2:41.9168 3:20.8536 4:0.0143 5:0.0284 6:0 7:0.0571 8:1 9:68.6569 10:0.1776 11:68.9298 12:0.0410 13:17.693 14:17.876
0 1:80 2:42.2546 3:60.1628 4:0.0125 5:0.0258 6:0 7:0.4253 8:1 9:77.7941 10:0.9577 11:78.1002 12:0.4132 13:20.191 14:20.373
0 1:90 2:41.8468 3:18.3608 4:0.0111 5:0.0221 6:0 7:0.0444 8:1 9:88.3071 10:0.1965 11:88.9462 12:0.0174 13:22.610 14:22.716
0 1:90 2:41.8468 3:60.0246 4:0.0111 5:0.0216 6:0 7:0.4195 8:1 9:87.3070 10:0.9673 11:87.9818 12:0.4377 13:22.733 14:22.957
0 1:18 2:104.3722 3:55.0199 4:0.3025 5:0.0556 6:0 7:0 8:2 9:13.1579 10:0.6028 11:15.5466 12:0.2000 13:5.111 14:5.516
0 1:21 2:117.1936 3:57.4498 4:0.3787 5:0.0476 6:0 7:0 8:4 9:13.4545 10:0.7286 11:17.2636 12:0.2544 13:6.218 14:6.807
1 1:25 2:110.8513 3:53.0755 4:0.3600 5:0.0400 6:0 7:0 8:8 9:13.4464 10:0.4867 11:19.7610 12:0.3831 13:7.308 14:7.987
1 1:27 2:58.6547 3:111.4788 4:0.0370 5:0.3608 6:0 7:0 8:8 9:13.7288 10:0.9343 11:22.0040 12:0.3242 13:8.023 14:8.813
0 1:28 2:54.5335 3:113.0709 4:0.0357 5:0.3597 6:0 7:0 8:4 9:21.2500 10:0.5929 11:24.0036 12:0.1997 13:8.181 14:8.949
0 1:30 2:112.4794 3:52.7545 4:0.3489 5:0.0333 6:0 7:0 8:4 9:23.2416 10:0.5266 11:25.9680 12:0.2723 13:8.613 14:9.373
0 1:20 2:54.1700 3:254.6515 4:0.0500 5:0.6900 6:0 7:0 8:4 9:11.5833 10:0.6167 11:16.3068 12:0.2800 13:5.514 14:5.885
0 1:100 2:106.6409 3:50.7545 4:0.3138 5:0.0100 6:0 7:0 8:1 9:96.4833 10:0.2217 11:97.6718 12:0.0676 13:27.800 14:29.985
0 1:100 2:108.3684 3:50.7545 4:0.3172 5:0.0100 6:0 7:0 8:1 9:96.6975 10:0.2253 11:97.9910 12:0.0442 13:28.106 14:30.470
0 1:100 2:108.0716 3:50.7545 4:0.3256 5:0.0100 6:0 7:0 8:1 9:95.7597 10:0.1853 11:97.2646 12:0.0684 13:27.548 14:29.578
0 1:100 2:109.1906 3:50.7545 4:0.3266 5:0.0100 6:0 7:0 8:1 9:96.4068 10:0.2487 11:98.1042 12:0.0570 13:27.535 14:29.557
0 1:100 2:110.3991 3:50.7545 4:0.3268 5:0.0100 6:0 7:0 8:1 9:96.0333 10:0.2815 11:97.9042 12:0.0442 13:27.600 14:29.663
0 1:100 2:108.3368 3:50.7545 4:0.3246 5:0.0100 6:0 7:0 8:1 9:97.4492 10:0.1992 11:98.2976 12:0.0262 13:27.346 14:29.247
0 1:42 2:108.4830 3:51.9576 4:0.3163 5:0.0238 6:0 7:0 8:4 9:32.2426 10:0.5027 11:37.9988 12:0.3055 13:11.559 14:12.378
0 1:49 2:109.3792 3:51.5496 4:0.3244 5:0.0204 6:0 7:0 8:3 9:43.9156 10:0.2270 11:45.7990 12:0.1318 13:13.413 14:14.331
0 1:56 2:110.5297 3:51.4637 4:0.3233 5:0.0179 6:0 7:0 8:2 9:50.0807 10:0.3794 11:52.9630 12:0.1358 13:15.598 14:16.817
0 1:64 2:108.3768 3:51.1829 4:0.3232 5:0.0156 6:0 7:0 8:2 9:58.4669 10:0.2326 11:60.7594 12:0.1624 13:17.504 14:18.706
0 1:72 2:107.1276 3:51.1362 4:0.3129 5:0.0139 6:0 7:0 8:1 9:68.3552 10:0.2039 11:69.6822 12:0.0872 13:19.929 14:21.436
0 1:81 2:106.6060 3:50.9328 4:0.3068 5:0.0123 6:0 7:0 8:1 9:77.2615 10:0.2736 11:78.7382 12:0.0809 13:22.739 14:24.629
0 1:90 2:107.5276 3:50.9077 4:0.3158 5:0.0111 6:0 7:0 8:1 9:85.6276 10:0.2767 11:87.5986 12:0.0612 13:25.046 14:27.024
1 1:36 2:400.3054 3:55.6458 4:0.7346 5:0.0278 6:0 7:0 8:8 9:25.6383 10:0.6177 11:30.9336 12:0.3114 13:10.954 14:12.122
1 1:36 2:400.3054 3:100.7895 4:0.7346 5:0.0278 6:0 7:0 8:8 9:14.6774 10:0.8631 11:29.3912 12:0.3898 13:11.821 14:13.177
1 1:36 2:400.3054 3:55.9034 4:0.7346 5:0.0278 6:0 7:0 8:8 9:16.8721 10:0.7436 11:30.3974 12:0.3326 13:11.270 14:12.525
0 1:100 2:60.3121 3:59.3380 4:0.0212 5:0.0180 6:0 7:0 8:1 9:98.0300 10:0.2904 11:98.9390 12:0 13:25.195 14:25.383
1 1:22 2:66.9564 3:421.0555 4:0.0455 5:0.9132 6:0 7:0 8:2 9:16.1409 10:0.5868 11:20.3234 12:0.2312 13:5.672 14:5.819
0 1:80 2:42.2546 3:19.4886 4:0.0125 5:0.0248 6:0 7:0.0500 8:1 9:78.5775 10:0.1850 11:78.8972 12:0.0144 13:20.102 14:20.201
0 1:20 2:64.4326 3:65.6508 4:0.0600 5:0.0550 6:0 7:0 8:1 9:17.7105 10:0.1053 11:18.0690 12:0.0941 13:5.354 14:5.628
